,figi,ticker,name,duration,yarly_mean_profiit,risk
0,BBG012F0B291,SU52004RMFS7,ОФЗ 52004,10,0.2798909873702293,0.237200999946402
1,BBG00XV43CN9,SU29017RMFS9,ОФЗ 29017,11,0.7780302565047393,0.1332823783777125
2,BBG0024TRF04,SU46023RMFS6,ОФЗ 46023,14,0.2248899999999999,0.1896139437777692
3,BBG00PBZNWM4,SU26230RMFS1,ОФЗ 26230,19,0.7608721696417875,0.2732442313262743
4,BBG007Z5F748,SU29009RMFS6,ОФЗ 29009,17,1.0862273991329503,0.2644749983444506
5,BBG00VY13C74,SU29014RMFS6,ОФЗ 29014,5,0.7938329979879274,0.2797755590337094
6,BBG00NQBGZX5,SU26227RMFS7,ОФЗ 26227,5,0.7206403359139221,0.3035862353805775
7,BBG011FJ6573,SU26237RMFS6,ОФЗ 26237,7,0.6959349028062731,0.2980633779237561
8,BBG00VCY76T1,SU26234RMFS3,ОФЗ 26234,5,0.4608940390070142,0.284188184005243
9,BBG00XD2M5S2,SU52003RMFS9,ОФЗ 52003,9,0.2860618772941795,0.2296782749250057
10,BBG00Y4SQ1Y1,SU29020RMFS3,ОФЗ 29020,6,0.7976935283356412,0.1931528764557294
11,BBG00XK3QV47,SU29015RMFS3,ОФЗ 29015,8,0.8425430597771022,0.1458500317714494
12,BBG00K53DJP0,SU26223RMFS6,ОФЗ 26223,6,0.6532251521298175,0.2563538067953603
13,BBG007Z5DF79,SU29007RMFS0,ОФЗ 29007,12,1.0306597918456983,0.2523684731896221
14,BBG00Y28DH67,SU29018RMFS7,ОФЗ 29018,11,0.7836745138178096,0.1771774319884929
15,BBG00425VG07,SU26212RMFS9,ОФЗ 26212,15,0.693966274372036,0.3183277584978549
16,BBG007Z5DZS2,SU29008RMFS8,ОФЗ 29008,14,0.9261507526249396,0.2793667867448688
17,BBG00XP7VH57,SU29016RMFS1,ОФЗ 29016,6,0.7932527693856999,0.2144306387462432
18,BBG002PD3452,SU26207RMFS9,ОФЗ 26207,14,0.7457520068456869,0.3309535034258388
19,BBG00G6V7252,SU26221RMFS0,ОФЗ 26221,16,0.7563691890836862,0.2750134631079591
20,BBG007Z13SN3,SU29006RMFS2,ОФЗ 29006,10,1.0878286270691333,0.2757813594305366
21,BBG00RRT3V69,SU26233RMFS5,ОФЗ 26233,15,0.6914359391965254,0.2684542584138331
22,BBG011MLGP84,SU26240RMFS0,ОФЗ 26240,15,0.7450062026886756,0.266822092763241
23,BBG011FJ4HS6,SU26238RMFS4,ОФЗ 26238,19,0.7482684653951516,0.2688631864180998
24,BBG00NZHWSQ8,SU26228RMFS5,ОФЗ 26228,10,0.7583242022406582,0.3043249822802462
25,BBG00KFLDC92,SU52002RMFS1,ОФЗ 52002,9,0.3232993722342286,0.2352136063200897
26,BBG00N8J90K7,SU26226RMFS9,ОФЗ 26226,7,0.7289030180758493,0.3337788484244834
27,BBG00PBZNT41,SU26229RMFS3,ОФЗ 26229,6,0.6723210421089513,0.2974988544383423
28,BBG011FHF1F7,SU26239RMFS2,ОФЗ 26239,10,0.7118573303113443,0.2913198297298594
29,BBG00R0Z4YW8,SU26232RMFS7,ОФЗ 26232,7,0.6120601298257602,0.3125527422009401
30,BBG007Z5FFL1,SU29010RMFS4,ОФЗ 29010,19,1.057863720073665,0.2377313403046408
31,BBG00T22WKV5,SU29013RMFS8,ОФЗ 29013,10,0.8124782830863567,0.1484110668565296
32,BBG0000776S2,SU46020RMFS2,ОФЗ 46020,30,0.7495239049814572,0.2616784588110226
33,BBG00B9PJ7V0,SU26218RMFS6,ОФЗ 26218,15,0.7752754133854092,0.2784563145640738
34,BBG00RKDZWG3,SU24021RMFS6,ОФЗ 24021,4,0.8250342256997532,0.2569414486364622
35,BBG00K53FX22,SU26225RMFS1,ОФЗ 26225,16,0.7450722891566265,0.2684337359760229
36,BBG00K53FBX6,SU26224RMFS4,ОФЗ 26224,11,0.6919872524470747,0.3135838929610958
37,BBG00Y04MGR7,SU29019RMFS5,ОФЗ 29019,8,0.849437172108185,0.2368317060629631
38,BBG00Y04Q3V7,SU26235RMFS0,ОФЗ 26235,10,0.6473999465873108,0.2864673678362958
39,BBG00YB8K0V8,SU26236RMFS8,ОФЗ 26236,7,0.6026076761839348,0.3203459795074113
40,TCS00A105B11,SU29021RMFS1,ОФЗ 29021,8,0.6576842105263158,0.1805885218406297
41,BBG00D6Q7LY6,SU26219RMFS4,ОФЗ 26219,10,0.7132239431580024,0.32820445293067
42,BBG00GLT6144,SU26222RMFS8,ОФЗ 26222,7,0.6899383148887737,0.3092103540504338
